Var.1,Planning Area,Total,0 - 4,5-Sep,Oct-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,85_and_over,PLN_AREA_N,65_AND_OVER,ELDERLY_DENSITY,POP_DATE
18,Jurong East,86980,3810,4440,5120,5640,6260,7000,7000,6830,6590,6910,7210,6860,5630,2720,2200,1360,820,610,610,JURONG EAST,7710,0.088641067,2011
19,Jurong West,270140,15530,16760,18200,18960,18640,21570,25090,24340,22440,22060,19940,17620,12860,5970,4660,2840,1590,1060,1060,JURONG WEST,16120,0.059672762,2011
20,Kallang,101980,4490,4580,4830,5090,5410,6750,8120,8860,8200,8000,8240,7590,7040,4230,4340,2900,1910,1410,1410,KALLANG,14790,0.145028437,2011
21,Lim Chu Kang,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LIM CHU KANG,0,0,2011
22,Mandai,2030,120,120,180,160,130,120,130,190,190,190,150,110,90,60,40,30,20,10,10,MANDAI,160,0.078817734,2011
23,Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA EAST,0,0,2011
24,Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA SOUTH,0,0,2011
25,Marine Parade,48350,2260,2670,2760,2840,2670,2530,3430,4330,4160,3950,3640,3190,3070,1980,1920,1380,930,650,650,MARINE PARADE,6860,0.14188211,2011
26,Museum,350,20,10,10,10,10,20,40,60,40,40,30,20,20,10,10,10,10,10,10,MUSEUM,50,0.142857143,2011
27,Newton,6390,300,400,350,350,320,320,410,600,680,620,480,450,400,230,170,140,90,80,80,NEWTON,710,0.111111111,2011
28,North-Eastern Islands,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NORTH-EASTERN ISLANDS,0,0,2011
